Month,Balance,Differentials in Inflation,vix,usdToInr
July 2021,-2790.00,0.27,18.24,74.36
June 2021,-2587.90,0.05,15.83,72.51
May 2021,-2900.90,-0.42,16.76,74.05
April 2021,-2911.10,0.02,18.61,73.14
March 2021,-2465.90,0.38,19.40,73.92
February 2021,-1627.10,0.40,27.95,72.88
January 2021,-2382.90,0.21,33.09,73.04
December 2020,-2112.00,-0.13,22.75,73.99
November 2020,-2256.50,0.94,20.57,74.55
October 2020,-2860.40,0.00,38.02,73.56
September 2020,-2708.00,1.01,26.37,73.25
August 2020,-2138.50,-0.39,26.41,74.92
July 2020,-2265.30,-1.15,24.46,75.54
June 2020,-1418.50,-0.50,30.43,75.59
May 2020,-756.50,-0.28,27.51,75.08
April 2020,-2165.00,-0.69,34.15,75.33
March 2020,-1862.10,-0.06,53.54,72.53
February 2020,-1381.40,-0.30,40.11,71.54
January 2020,-2199.70,-1.59,18.84,71.35
December 2019,-1263.80,0.39,13.78,71.75
November 2019,-1800.70,0.88,12.62,70.98
October 2019,-2373.40,0.39,13.22,70.64
September 2019,-2208.40,0.00,16.24,71.45
August 2019,-2188.60,-0.70,18.98,68.86
July 2019,-2518.10,-0.97,16.12,68.94
June 2019,-1021.20,-0.70,15.08,69.57
May 2019,-2473.30,-0.55,18.71,69.64
April 2019,-1835.10,-0.31,13.12,69.18
March 2019,-1822.90,-0.78,13.71,70.83
February 2019,-1918.20,-0.62,14.78,70.95
January 2019,-2238.40,-0.43,16.57,69.56
December 2018,-690.50,-0.44,25.42,69.64
November 2018,-1427.70,-0.09,18.07,73.95
October 2018,-2485.40,0.42,21.23,72.50
September 2018,-1556.40,-1.80,12.12,71.00
August 2018,-1932.30,0.00,12.86,68.45
July 2018,-2059.50,0.01,12.83,68.45
June 2018,-891.80,-0.33,16.09,67.42
May 2018,-2489.90,-0.15,15.43,66.45
April 2018,-2333.80,0.12,15.93,65.11
March 2018,-1413.30,0.06,19.97,65.20
February 2018,-1575.00,-3.43,19.85,63.54
January 2018,-2217.40,-0.53,13.54,63.83
December 2017,-1230.20,0.07,11.04,64.48
November 2017,-1981.10,0.05,11.28,64.74
October 2017,-2329.10,0.23,10.18,65.31
September 2017,-2090.50,0.80,9.51,63.93
August 2017,-1687.20,-0.16,10.59,64.17
July 2017,-2010.10,0.00,10.26,64.62
June 2017,-1678.00,0.63,11.18,64.51
May 2017,-2436.00,-0.35,10.41,64.27
